실험 0 시작
최초 고도 기록: 34.983707 m
움직임 감지됨
중력: 9.81 m/s², 총가속도: 9.75 m/s², 고도: 34.94 m
중력: 9.81 m/s², 총가속도: 9.75 m/s², 고도: 34.94 m
중력: 9.81 m/s², 총가속도: 9.66 m/s², 고도: 34.94 m
중력: 9.81 m/s², 총가속도: 9.69 m/s², 고도: 34.94 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 34.94 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 34.94 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 34.94 m
중력: 9.81 m/s², 총가속도: 9.79 m/s², 고도: 34.90 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 34.90 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 34.90 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 34.90 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 34.90 m
중력: 9.81 m/s², 총가속도: 9.61 m/s², 고도: 34.90 m
중력: 9.81 m/s², 총가속도: 9.58 m/s², 고도: 34.90 m
중력: 9.81 m/s², 총가속도: 9.67 m/s², 고도: 34.90 m
중력: 9.81 m/s², 총가속도: 9.65 m/s², 고도: 34.90 m
중력: 9.81 m/s², 총가속도: 9.63 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.82 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.83 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.79 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.79 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.85 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.83 m/s², 고도: 35.14 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 35.12 m
