실험 4 시작
움직임 감지됨
중력: 9.81 m/s², 총가속도: 9.92 m/s², 고도: 0.00 m
중력: 9.81 m/s², 총가속도: 9.89 m/s², 고도: 0.00 m
중력: 9.81 m/s², 총가속도: 9.56 m/s², 고도: 0.00 m
중력: 9.81 m/s², 총가속도: 9.45 m/s², 고도: 0.00 m
중력: 9.81 m/s², 총가속도: 9.74 m/s², 고도: 0.00 m
중력: 9.81 m/s², 총가속도: 9.86 m/s², 고도: 0.00 m
중력: 9.81 m/s², 총가속도: 9.80 m/s², 고도: 0.00 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 0.00 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 0.00 m
최초 고도 기록: 35.911144 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.67 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.70 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.78 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.82 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.87 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.90 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.88 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 35.97 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 35.97 m
중력: 9.81 m/s², 총가속도: 9.68 m/s², 고도: 35.97 m
중력: 9.81 m/s², 총가속도: 9.70 m/s², 고도: 35.97 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 35.97 m
중력: 9.81 m/s², 총가속도: 9.78 m/s², 고도: 35.97 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 35.97 m
중력: 9.81 m/s², 총가속도: 9.69 m/s², 고도: 35.97 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 35.97 m
중력: 9.81 m/s², 총가속도: 9.75 m/s², 고도: 35.88 m
중력: 9.81 m/s², 총가속도: 9.79 m/s², 고도: 35.88 m
